id,tweet
1,baka film din banza director allah ya dafa ni nasan zai yi daidai da abnd ake bukata
2,allah ubangiji yaiwa rayuwarsa albarka
3,abu nafarko gamawa da duniya lafiya kuma inason ingama da uwayena lafiya sannan arzikin duniya dana lahira  sannan inason ganin annabi  s a w  koda cikin mafarkinane   gaskiya dai kuma inason aur
4,allah yasa muyi kyakkyawan qarshe
5,ba wasa a fuskokinsu  may you succeed always guys
6,aslm bbc hausa tambaya ta itace shekara bbc hausa nawa kuma a wace kasa takene nagode   fatan alkairi
7,allah yasa donal trump y kawo w buhari ziyara suyi hanu biyu d shi amin
8,toh allah ya sakawa yan gaza
9,wannan gsky ne wallahi munacikin lahaula allah muke roqo daya kawo mana daukinsa
10,ya subhanallahi   allah ya jiqansu ya gafarta musu ameen
11,ah lallai ka burge
12,a haba dai kano pillars    allah ya bashi team a chan inda take
13,ba a cewa                  ya mutu                  kamarh dabba  sai dey ace                 yarasu                 allah ya mugane amen
14,gsky ne allah ya taimaki
15,sister dinki tayi kyau sosai
16,allah yashiryar damu baki dai wlh wasu mutane akwai sheri garesu
17,allahu akbar allah yaqara nisan kwana mai amfani daga bakin jikan mal  arzika dan nepu sokoto state bodinga l g ketaeren sawaba area
18,allah ya sa mu dace amin
19,gsky hirar nan tae dadi allah ya taemaka
20,idan ansamu iphone 1 in aso
21,gamji mazan kwarai namiji uban yan boko  allah ya qara haskaka makwanci
22,ko babu komai akwai araha
23,allah yakara jagora
24,dan allah a ina xan samu complete shirinku da kukeyi mai suna dan birni i m in love with the movie  thanks   allah ya kara daukaka
25,allah ya karemana kasarmu tagado nigeria da kare warsa daga sharrin yan siyasa ameeeeeeeeeen
26,masha allah  muna godiya da aikin megida
27,show love to rahama sadau
28,good haka muke so yan man united ayi hakure sai next level
29,allah yasa afara asa a allah yayi jagora
30,allah ya sauwaqe mata wannan jarrabawar
31,allah ya fiddasu lafiya   alfarmar annabi muhammad s a w
32,allah ya sa ka da alkharin sa
33,kuma dai ya allah mun mika lamuramu zuwa gareka ya allah ka kawo mana mafeta kasa ta nageria ya allah kai ne maji rokon bayinka amin ya hauyu ya kauyumu
34,amin y rabbi dama allah swt y halicche mu sannan y ban ban tamu t bangaren yare   al adu d kuma kabilu ba don komai bah se dan wannan dalilan allah y karo mana lpy d zaman lpy gami d yalwar arzik
35,congratulations zamuzo musha kaman ba gobe
36,congratulations stardom har birnin sin
37,allah yajikansa da rahma yasa albarka ga iyalansa daya bari amen
38,mashaallah allah ya kara daukaka darajar wanan film allah ya nuna mana kizo jahar katsina domin haska mana shi a cinema amin
39,allah ka yaye mana wadannan masifu a nigeria
40,toh mudae wannan cutar allah ya karu mu  kuma mutane sugane cewa idan kaga gemun dan uwanka yakama da wuta toh ka yai yafa ma naka ruwa
41,yaye kyau    gaskiya mahmud yana playing role mai wuya a wannan shirrin labarin
42,allhmdllh      allah yatona asirinsu
43,koma wanne irin nau i neh allah zai karemu
44,ameen  may aljanna be their final abode
