id,ha_text,ig_text,ha_ig_text
1,baka film din banza director allah ya dafa ni nasan zai yi daidai da abnd ake bukata,ndu chineke nyerem,baka film din banza director allah ya dafa ni nasan zai yi daidai da abnd ake bukata
2,allah ubangiji yaiwa rayuwarsa albarka,np    onye eze      morningdrivelagos  moremusicradio  wednesday       we,allah ubangiji yaiwa rayuwarsa albarka
3,abu nafarko gamawa da duniya lafiya kuma inason ingama da uwayena lafiya sannan arzikin duniya dana lahira  sannan inason ganin annabi  s a w  koda cikin mafarkinane   gaskiya dai kuma inason aur,dal  ezigbo mmad,abu nafarko gamawa da duniya lafiya kuma inason ingama da uwayena lafiya sannan arzikin duniya dana lahira  sannan inason ganin annabi  s a w  koda cikin mafarkinane   gaskiya dai kuma inason aur
4,allah yasa muyi kyakkyawan qarshe,good afternoon hugeman   jj juventus gave napoli ego aga enye onye ga e win champions league 2016 17 maka higuain  egwu di,allah yasa muyi kyakkyawan qarshe
5,ba wasa a fuskokinsu  may you succeed always guys,my manchi like forever daal          b ch   nyem,ba wasa a fuskokinsu  may you succeed always guys
6,aslm bbc hausa tambaya ta itace shekara bbc hausa nawa kuma a wace kasa takene nagode   fatan alkairi,senatorabaribe chukwuabiama g zie g,aslm bbc hausa tambaya ta itace shekara bbc hausa nawa kuma a wace kasa takene nagode   fatan alkairi
7,allah yasa donal trump y kawo w buhari ziyara suyi hanu biyu d shi amin,umu israelite   ihe de chukwu goziri agozi   we don t fail to succeed,allah yasa donal trump y kawo w buhari ziyara suyi hanu biyu d shi amin
8,toh allah ya sakawa yan gaza,at la egwu  amakwala jijiji  kw dosie ike nime  n d    b la  n ihi na jehova b  chineke g  so g  n aga    gagh  agbahap  g     gagh kwa arap  g  ma  l     gagh  ekwe kwa ka ihere me g   mmeri g ab,toh allah ya sakawa yan gaza
9,wannan gsky ne wallahi munacikin lahaula allah muke roqo daya kawo mana daukinsa,nzogbu adighi nwa chineke,wannan gsky ne wallahi munacikin lahaula allah muke roqo daya kawo mana daukinsa
10,ya subhanallahi   allah ya jiqansu ya gafarta musu ameen,chukwu g zie g,ya subhanallahi   allah ya jiqansu ya gafarta musu ameen
11,ah lallai ka burge,igbo be anyi na e  tlend  kwa kwa ozo di ka o si ada akpotu  mpa daalu nu rine,ah lallai ka burge
12,a haba dai kano pillars    allah ya bashi team a chan inda take,o di mma  o ka mma ka a na eme ya n obodo o bula    okwu gi di mma,a haba dai kano pillars    allah ya bashi team a chan inda take
13,ba a cewa                  ya mutu                  kamarh dabba  sai dey ace                 yarasu                 allah ya mugane amen,t t   d r  olisa n  onyinye nd  na ar  s r  ke  igbo wee mmad  udo d r  any  ncha  igbotwittercommunity  igboamaka,ba a cewa                  ya mutu                  kamarh dabba  sai dey ace                 yarasu                 allah ya mugane amen
14,gsky ne allah ya taimaki,blessed birthday to the african no 1 producer   udo dili gi blooda            birikwa ezeubo       udo  chidubem     lagos  nigeria,gsky ne allah ya taimaki
15,sister dinki tayi kyau sosai,no mind am  igbo kwenu,sister dinki tayi kyau sosai
16,allah yashiryar damu baki dai wlh wasu mutane akwai sheri garesu,ekelediri gi nna  ezi chukwu anyi ekele gi nna ihe in a emere anyi erika,allah yashiryar damu baki dai wlh wasu mutane akwai sheri garesu
17,allahu akbar allah yaqara nisan kwana mai amfani daga bakin jikan mal  arzika dan nepu sokoto state bodinga l g ketaeren sawaba area,ofu nwa ada mara mma no awka bikonu bia na dm kai kpaa,allahu akbar allah yaqara nisan kwana mai amfani daga bakin jikan mal  arzika dan nepu sokoto state bodinga l g ketaeren sawaba area
18,allah ya sa mu dace amin,look at kimberlychukwu   nwa oma,allah ya sa mu dace amin
19,gsky hirar nan tae dadi allah ya taemaka,ifea abughi ezigbo akuko i kent forgive this  agam amunye mmadu oku,gsky hirar nan tae dadi allah ya taemaka
20,idan ansamu iphone 1 in aso,chukwu gozie gi jare,idan ansamu iphone 1 in aso
21,gamji mazan kwarai namiji uban yan boko  allah ya qara haskaka makwanci,happy birthday oga i bu nkwu anu     onye nwe anyi gozie gi,gamji mazan kwarai namiji uban yan boko  allah ya qara haskaka makwanci
22,ko babu komai akwai araha,nwa dibia adi anwu ka ofeke  ikechukwu  iga adi k echi maka echi adi agwu agwu  gaa n iru nwanne mmadu  kwulu n eziokwu  ya gazie,ko babu komai akwai araha
23,allah yakara jagora,jehovah idi egwu jehovah idi egwu jehovah eeehhh idi egwu jehovah eehh   solid  thanksgiving  tecgreaterlekki,allah yakara jagora
24,dan allah a ina xan samu complete shirinku da kukeyi mai suna dan birni i m in love with the movie  thanks   allah ya kara daukaka,ngwa bianu  onye nkem    ututu oma,dan allah a ina xan samu complete shirinku da kukeyi mai suna dan birni i m in love with the movie  thanks   allah ya kara daukaka
25,allah ya karemana kasarmu tagado nigeria da kare warsa daga sharrin yan siyasa ameeeeeeeeeen,kpotokpoto ga   agba na iru efi ubochi ahu    anyi ga   ahu ndi kwadoro ofuma ada ide ekelekwa gi,allah ya karemana kasarmu tagado nigeria da kare warsa daga sharrin yan siyasa ameeeeeeeeeen
26,masha allah  muna godiya da aikin megida,god bless you  n eziokwu  nwanne di na mba,masha allah  muna godiya da aikin megida
27,show love to rahama sadau,ozoemena  ogaghi eme ozo,show love to rahama sadau
28,good haka muke so yan man united ayi hakure sai next level,chukwu gozie gi  your down to earth,good haka muke so yan man united ayi hakure sai next level
29,allah yasa afara asa a allah yayi jagora,d mma  ka ubosi taa maara g  mma otu isi welu maa mma,allah yasa afara asa a allah yayi jagora
30,allah ya sauwaqe mata wannan jarrabawar,nwanne   obodo di mma   ekele diri olisa,allah ya sauwaqe mata wannan jarrabawar
31,allah ya fiddasu lafiya   alfarmar annabi muhammad s a w,okwa ima na chukwu bu chukwu second chance  kedu k isi buruzie one chance,allah ya fiddasu lafiya   alfarmar annabi muhammad s a w
32,allah ya sa ka da alkharin sa,ebezina  chukwu non nso ogini bu  nsogbu gi  imana odi ah diegide nwanem oh  gide sie ike hich anyi gi eh chukwu adighi atu asi oga diri gi nma,allah ya sa ka da alkharin sa
33,kuma dai ya allah mun mika lamuramu zuwa gareka ya allah ka kawo mana mafeta kasa ta nageria ya allah kai ne maji rokon bayinka amin ya hauyu ya kauyumu,ooooshey nwanne  udo nke onye nwe anyi diri gi na ezi n ulo gi,kuma dai ya allah mun mika lamuramu zuwa gareka ya allah ka kawo mana mafeta kasa ta nageria ya allah kai ne maji rokon bayinka amin ya hauyu ya kauyumu
34,amin y rabbi dama allah swt y halicche mu sannan y ban ban tamu t bangaren yare   al adu d kuma kabilu ba don komai bah se dan wannan dalilan allah y karo mana lpy d zaman lpy gami d yalwar arzik,da alu nwanyi oma,amin y rabbi dama allah swt y halicche mu sannan y ban ban tamu t bangaren yare   al adu d kuma kabilu ba don komai bah se dan wannan dalilan allah y karo mana lpy d zaman lpy gami d yalwar arzik
35,congratulations zamuzo musha kaman ba gobe,nwanne m  ma   b kwa n  asa na onwe g,congratulations zamuzo musha kaman ba gobe
36,congratulations stardom har birnin sin,muna ga amuta nwa mara mma ga adi ka mama ya    hope i tried  jisie ike nwa omalicha ada igbo ji eme mba,congratulations stardom har birnin sin
37,allah yajikansa da rahma yasa albarka ga iyalansa daya bari amen,good pr ndi mmuo,allah yajikansa da rahma yasa albarka ga iyalansa daya bari amen
38,mashaallah allah ya kara daukaka darajar wanan film allah ya nuna mana kizo jahar katsina domin haska mana shi a cinema amin,more grace onye ukochukwu,mashaallah allah ya kara daukaka darajar wanan film allah ya nuna mana kizo jahar katsina domin haska mana shi a cinema amin
39,allah ka yaye mana wadannan masifu a nigeria,maka oganiru ndi igbo      anyi ma na igbo amaka      we respect igbo culture and put them first in,allah ka yaye mana wadannan masifu a nigeria
40,toh mudae wannan cutar allah ya karu mu  kuma mutane sugane cewa idan kaga gemun dan uwanka yakama da wuta toh ka yai yafa ma naka ruwa,ndi baanyi ekele kwam unu   schoolsreopening  bbnaijialockdown2020  tuesdaythoughts  mosquitoclapchallenge  panicbuying  theblueprint,toh mudae wannan cutar allah ya karu mu  kuma mutane sugane cewa idan kaga gemun dan uwanka yakama da wuta toh ka yai yafa ma naka ruwa
41,yaye kyau    gaskiya mahmud yana playing role mai wuya a wannan shirrin labarin,isee oo   gozikwa g  nne,yaye kyau    gaskiya mahmud yana playing role mai wuya a wannan shirrin labarin
42,allhmdllh      allah yatona asirinsu,tuorom jesus otu aha   omeiheukwu iju station,allhmdllh      allah yatona asirinsu
43,koma wanne irin nau i neh allah zai karemu,nwanne nkem  onye ana etu nwere ihe o na eme  ichie  mere gaba n ihu na anyi kwu gi chim n azu aka olu gi di anyi mma,koma wanne irin nau i neh allah zai karemu
44,ameen  may aljanna be their final abode,jisikwa ike nwanne,ameen  may aljanna be their final abode
45,allah ya tsare da gaba,chukwu agizigo gi,allah ya tsare da gaba
46,mukam muna biyayya ga gwamnati duk abunda tace idan bawai yasaba mawa addinin islama bane muna masu biyayya yauwa,chi chi nwanyi obi oma,mukam muna biyayya ga gwamnati duk abunda tace idan bawai yasaba mawa addinin islama bane muna masu biyayya yauwa
47,allahu akbar  allah ka kawo mana karshen wannan bala i,t t   ma sir,allahu akbar  allah ka kawo mana karshen wannan bala i
48,tsakani da allah in ba a yi hankali ba sai    sudan ta koma    libiya,chukwu na edu m although sometimes m na atu egwu mana m tugharichaa uche a na m ahu oru ebube chukwu,tsakani da allah in ba a yi hankali ba sai    sudan ta koma    libiya
49,kaduna sai ali nuhu,the chukwu agozigo gi video,happy birthday ezigbo nne mu ochie ka ife nile bu ife oma  aru isi ike n ogologo ndu buru nke gi  now and forever   amen
50,wallahi nima ganinki kawai nakeyi    my one and only actress,happy birthday ezigbo nne mu ochie ka ife nile bu ife oma  aru isi ike n ogologo ndu buru nke gi  now and forever   amen,o biliwo o biliwo jesu apoburu nelu obe onye mmeri
